L,pre,query
10,0.06092067899999165,0.0022598102000074504
11,0.0671592400000236,0.0024613583999894217
12,0.07517270599998938,0.002729234599996744
13,0.08868433399993592,0.002951410100013163
14,0.10242989500000022,0.003190752900002281
15,0.11655645400003323,0.003277007199983473
16,0.12152470299997731,0.003766286399991259
17,0.14607339200006209,0.004044521399987388
18,0.16013585799998964,0.004623902800017276
19,0.16848713899992163,0.005090925100012101
20,0.17839354000000185,0.004831060800006525
21,0.19402988100000584,0.00499417439999661
22,0.2188969989999805,0.005904997499999354
23,0.23153970200007734,0.005720088500015663
24,0.2385295380000798,0.0058732995999889685
25,0.2708299230000648,0.006563979199984259
26,0.283604897000032,0.006386000899988175
27,0.3170575750000353,0.006838629200024115
28,0.3102010169999403,0.007287313499978153
29,0.35434840699997494,0.007224465099989174
30,0.3737608239999872,0.007729111599996941
31,0.3846666890000279,0.007744781499980035
32,0.39310210600001483,0.008214399200005574
33,0.4242750150000347,0.008298485899990736
34,0.49170347500000844,0.00863808340001242
35,0.47303625799997917,0.008663173599984475
36,0.5227854810000281,0.008969091699987075
37,0.509132887000078,0.00987542029999986
38,0.556241243000045,0.009783198300021922
39,0.5764723100000992,0.010068739799999093
40,0.5927451609999252,0.011120034200007468
41,0.6418965389999585,0.010546361399997296
42,0.6630185139999867,0.011686913300002289
43,0.6807406499999615,0.011503529200001595
44,0.7282079560000057,0.011903501400013282
45,0.755215671999963,0.01175335930001893
46,0.7899179600000252,0.011815887300008397
47,0.8321871160000001,0.014199143799987723
48,0.868106019000038,0.012051808699982304
49,0.8556608410000308,0.013190984400011985
50,0.9096552169999086,0.01458890800001882
51,0.9558451929999592,0.014765513000008923
52,0.9812906239999393,0.014828401699992355
53,1.0362121730000808,0.014581143099997007
54,1.0556797450000204,0.014450023299991697
55,1.085158414000034,0.016195845899972028
56,1.1187538460000042,0.015483069800018259
57,1.169303709000019,0.015924341399977494
58,1.1929754520000415,0.015037332200006404
59,1.250794509000002,0.0173839097000041
60,1.2859357520000003,0.016296647299998315
61,1.3093869179999729,0.01800537539999141
62,1.3370424500000126,0.017661709399999382
63,1.3967122140001038,0.017044040000007497
64,1.4475118720000637,0.018411777899996196
65,1.508768835000069,0.0180119809999951
66,1.5452339080000002,0.019165104899991545
67,1.5620519660000127,0.01944706780002434
68,1.6058319499999243,0.01951933260002079
69,1.6317761999999902,0.019293126199988818
70,1.6980942339999956,0.01986979269998983
71,1.750302898999962,0.018577888899983463
72,1.7748594160000266,0.019686330500007898
73,1.8088243290000037,0.020426244499992665
74,1.8817464689999497,0.021579104600004936
75,1.9237821039999972,0.02188815630000818
76,1.9674745690000464,0.02217373739999857
77,2.013204480000013,0.021842066899989736
78,2.0871062919999304,0.02258038279999255
79,2.1277161199999455,0.022425137300001553
80,2.2535528130000557,0.022542431299996224
81,2.2001641839999593,0.023946602099999832
82,2.276177744999927,0.023032446600018377
83,2.3166821979999668,0.02508248170001934
84,2.417520300000092,0.025550314099950813
85,2.4036694449999914,0.02390252990004456
86,2.5027113239999608,0.024378863700019338
87,2.5878005079999866,0.025345077599990874
88,2.624415233000036,0.02531107969998629
89,2.630663678000019,0.026459775100011032
90,2.7271265939999694,0.023820231299998797
91,2.734156428999995,0.027129250500001947
92,2.828646375000062,0.02605094419999432
93,2.9448852119999174,0.026812669999981158
94,2.947258353000052,0.028826266399994437
95,2.988425690999975,0.028173545900028785
96,3.10255193699993,0.027319535899971468
97,3.1667827349999698,0.028661375499996214
98,3.1923526299999594,0.02751391759996977
99,3.2352869499999315,0.02892006490002359
100,3.342559870999935,0.030057287800002542
