L,pre,query
10,0.025762416000361554,0.000618772399957379
11,0.03003922900006728,0.0006856703999801539
12,0.03381101100012529,0.0007550114999958169
13,0.03667132300006415,0.0008107495000786003
14,0.03928771400023834,0.0008588686000621236
15,0.044301537000137614,0.0009702626000034798
16,0.0481202599999051,0.0009886215998449188
17,0.05143879199977164,0.0010563386999820068
18,0.05573168499995518,0.0011324927000259779
19,0.06180399799995939,0.0012070058000063003
20,0.0658419110000068,0.0012721668000722274
21,0.07092259399996692,0.0013445767999201053
22,0.07232022500011226,0.0013852967999810062
23,0.0767474580002272,0.0014265198999510176
24,0.084481162999964,0.0014886018998822692
25,0.08891075499968792,0.0016017989999454584
26,0.09510222000017166,0.0016711859999759325
27,0.09918034200018155,0.0017346291000649217
28,0.10821805800014772,0.0017626311000185522
29,0.10847463799973411,0.0018095601000368334
30,0.11492635200011136,0.011245355000028212
31,0.11801361400011956,0.001897851200010336
32,0.12773054899980707,0.001957862299968838
33,0.13050797200003217,0.0020356531998913852
34,0.14167636800038963,0.002069399299989527
35,0.14785690200005774,0.0021977933999096423
36,0.14908481299971754,0.0022223454000595663
37,0.16280117199994493,0.0024234765000983316
38,0.17373898799996823,0.002541504599957989
39,0.16954232599982788,0.002408529499962242
40,0.17975823200004015,0.0024617145001684547
41,0.1834049250001044,0.002453903499917942
42,0.19583342199985054,0.002626503700003013
43,0.20113102499999513,0.002664021700093145
44,0.2047658669998782,0.0027116196999486418
45,0.22159389900025417,0.002786686699892016
46,0.21931922700014184,0.0028018177999911127
47,0.22990585399975316,0.0029861329000141264
48,0.24275512199983496,0.0030115539000235003
49,0.24666177400013112,0.0030623048999586905
50,0.258151980999628,0.003161751999914486
51,0.2644519250002304,0.0031927030000588274
52,0.27739316299994243,0.0032599941000626127
53,0.274745490999976,0.003251555099950565
54,0.39070345299978726,0.0034208081000087986
55,0.296620915999938,0.003311160000021118
56,0.3108968339997773,0.0034952261999933397
57,0.3217616410001938,0.0035034341999562453
58,0.33123398699990503,0.003619195300007049
59,0.33170890700012023,0.00360771830005433
60,0.3499553480000941,0.0037275023999427505
61,0.35699353299969516,0.0037503312999888298
62,0.36624795900024765,0.0038427624000178183
63,0.3689734609997686,0.0039006703999802995
64,0.47228716500012524,0.003883248399961303
65,0.39250091499980044,0.0040720245998727474
66,0.39726156799997625,0.004093139599990536
67,0.420811792999757,0.004221378699912747
68,0.43480293099992195,0.0043582897000305825
69,0.4377694840000004,0.004334147700092217
70,0.45032149200005733,0.004372236700010035
71,0.4611816980000185,0.004500118900023153
72,0.5758831300004204,0.004559032800125352
73,0.48116290100006154,0.004635657900098522
74,0.49538862999997946,0.004684336900027119
75,0.4939725870003713,0.004634876899990559
76,0.5182232639999711,0.004797018999852297
77,0.5298606610003844,0.004824586099903172
78,0.5472237720000521,0.005009934200052157
79,0.6478480850000778,0.004963277100114283
80,0.5721194969996759,0.005088686199997028
81,0.5671018539997021,0.005187007199992877
82,0.5862458759997935,0.005116030200042587
83,0.5903218290000041,0.005068088099869783
84,0.5967979219999506,0.005104529199934404
85,0.7188416490002965,0.005290614299974551
86,0.6328721750001023,0.005315902299935261
87,0.651216246000331,0.00544205739993231
88,0.6766618820001895,0.005649724599879846
89,0.6809432450004351,0.005587383500005671
90,0.6716021389997877,0.0055276654999488525
91,0.7826292390000162,0.005610143499916376
92,0.7242942820003009,0.005859170700023241
93,0.7353588609998951,0.005971662699994339
94,0.7403233820000423,0.005963379699915095
95,0.762004356000034,0.006053097800031537
96,0.8657062309998764,0.006031922699912684
97,0.7852366000001894,0.0061402788000123115
98,0.7985785989999385,0.0063098628999341605
99,0.8183613900000637,0.006337692900024193
100,0.8409339459999501,0.006322689899889155
