N,pre,query
1,0.8475223280000002,0.010363061399999651
2,0.8422480639999996,0.010142848500000134
3,0.8686673010000003,0.010146457100000107
4,0.8832563820000008,0.010152530200000067
5,0.8514135649999997,0.010215048899999957
6,0.9069299759999989,0.01009497130000021
7,0.8942709769999997,0.010116947500000249
8,0.888429304999999,0.010146052299999651
9,0.8822703499999989,0.01016378549999999
10,0.9196975100000024,0.010199570800000045
11,0.9389831550000025,0.01012167540000064
12,0.9378601090000025,0.010116739400000442
13,0.9315536040000012,0.010167683599999934
14,0.9581597200000012,0.010158836799999094
15,0.9814846139999993,0.010163346600000268
16,0.9894091970000005,0.010247342199999919
17,0.9540353510000017,0.01027569730000053
18,0.9779101899999993,0.010273724600000022
19,0.9993625590000015,0.010243109099999615
20,0.9832059539999989,0.01032756159999977
21,1.0289288889999995,0.010271821100000265
22,1.0188317729999987,0.010137255200000084
23,1.0250642200000009,0.010228019500000586
24,1.0290233269999973,0.010386778600001634
25,1.0484215270000021,0.01019723580000047
26,1.0390607779999996,0.010303667099999103
27,1.0440183029999943,0.010215852299998574
28,1.087215626999999,0.010279719000000399
29,1.0788696030000011,0.010461652600000093
30,1.097069341000001,0.010259906199998883
31,1.1220878379999988,0.010172489299999653
32,1.090420060999996,0.010213285899999392
33,1.1176644979999963,0.010174235600000258
34,1.1440586439999976,0.010261705299999592
35,1.1338333129999967,0.010286331600000408
36,1.1420195640000017,0.010254055400000794
37,1.1474095129999995,0.010244610800000942
38,1.1676318100000032,0.010221800800001547
39,1.163946707000001,0.01024482090000092
40,1.198412134999998,0.010368621300000314
41,1.1693709139999982,0.010292452800000974
42,1.1823024309999965,0.010292048899999172
43,1.2081057959999981,0.010192267699999036
44,1.2143698369999996,0.010240258099997845
45,1.2117815149999984,0.010242848299999706
46,1.2362140299999993,0.010334048600000046
47,1.2187186640000007,0.01024496240000019
48,1.2349865609999995,0.010315680399997971
49,1.2412503340000072,0.01031022260000043
50,1.2375274750000074,0.010316589299999636
51,1.2452091170000017,0.010465212000001145
52,1.260492266,0.010305707399997744
53,1.26239136800001,0.010245838199999467
54,1.2809977139999944,0.010168475800001886
55,1.282576595000009,0.010312792100000934
56,1.304822097000013,0.010418546399999683
57,1.339916322999997,0.010347684899997489
58,1.352738828999989,0.010257197399998575
59,1.3575821850000125,0.010578971699999329
60,1.346510335000005,0.010286746499998854
61,1.3461531250000007,0.010434064799996179
62,1.3638978709999918,0.010344124699999213
63,1.3966632549999929,0.010232801999998742
64,1.4063702569999919,0.010155586500002303
65,1.3799876989999973,0.010451899999999625
66,1.3992661000000055,0.010183164999997983
67,1.4122341070000033,0.010258547700003362
68,1.4190980970000027,0.010239475299998444
69,1.4428662930000087,0.010373496499998679
70,1.439902817999993,0.010198410500001387
71,1.4768054809999995,0.010293666500001564
72,1.4502833909999993,0.010248440200003017
73,1.4781745240000106,0.010695041900000035
74,1.4989758630000125,0.010406758300000263
75,1.4859732130000083,0.010319427199999608
76,1.4854709220000046,0.0102343975000025
77,1.4910547070000035,0.010273399899998027
78,1.4896875069999993,0.010406393300002037
79,1.505865516,0.010553177700001016
80,1.5180334729999885,0.010337226400001499
81,1.520645880999993,0.01029232510000071
82,1.5706636470000035,0.010210539700001674
83,1.5371611749999943,0.010208795900001632
84,1.558453306000004,0.010465591200001258
85,1.5474073400000066,0.010206976000002043
86,1.6182365840000017,0.010393623600000979
87,1.5874188220000036,0.010403801200003214
88,1.6158570620000035,0.010269164800000397
89,1.600324907000001,0.010504548999995223
90,1.5941758330000084,0.010309655299997188
91,1.6182763349999902,0.010282833900004108
92,1.6135318470000186,0.0102649381999953
93,1.627889414000009,0.010299693699997193
94,1.6538871369999981,0.010425292000002173
95,1.6642485550000004,0.010513671099997167
96,1.650384047000017,0.010378407999999695
97,1.6608937180000112,0.010305372499999521
98,1.6625223039999923,0.0102935561999999
99,1.6806408860000204,0.010265926399995353
100,1.678143652000017,0.01025367850000407
