N,pre,query
1,0.1841617850000148,0.0030936379000195305
2,0.27975217499988503,0.003049946900046052
3,0.2037784979997923,0.0031439039999440867
4,0.20818052999993597,0.003050866900048277
5,0.2187839069997608,0.003161627000054068
6,0.22529493999991246,0.003153037999982189
7,0.2376186679998682,0.0031772698999702697
8,0.23759603899998183,0.003190251899832219
9,0.26253122399975837,0.0032066390000636603
10,0.24824646500019298,0.0030632599000455225
11,0.272390009999981,0.0032149450000360956
12,0.2695041189999756,0.003159198999946966
13,0.2719185099999777,0.0030953938998663946
14,0.2844811780000782,0.0030933060000279513
15,0.29284837300019717,0.0031040759999541477
16,0.31514236699968023,0.0032811920999392895
17,0.4049683329999425,0.003070049899997684
18,0.3175247680001121,0.003056227899969599
19,0.32637139400003434,0.0030074009000145454
20,0.3375522800001818,0.0030586699000195953
21,0.3399320319999788,0.003019985800028735
22,0.34433805500020753,0.003000889799977813
23,0.3503879989998495,0.003021841900044819
24,0.35276366000016424,0.003062878900027499
25,0.36741291899988937,0.0030841778999729287
26,0.3726875719999043,0.003064591799966365
27,0.38257932899978186,0.0030626139999640144
28,0.3910179340000468,0.0030302459000267844
29,0.39510351699982493,0.0029964539000502557
30,0.4164026600001307,0.003050379900059852
31,0.4300361079999675,0.0032965741000225528
32,0.43825248400025885,0.012373733699860168
33,0.4489091909999843,0.0030823209000573116
34,0.45181670400006624,0.003040231900058643
35,0.46025699700021505,0.0030594028999530566
36,0.46931084300013026,0.003065827000045829
37,0.4775903689996994,0.0031069148999904425
38,0.4843488929996056,0.0031108128999676413
39,0.49208687800000916,0.0029943837999326203
40,0.5044410660002541,0.003138253899942356
41,0.5115785689999939,0.0031199299999570937
42,0.5136664800002109,0.003083380899943222
43,0.5178179930003353,0.0030787348999638197
44,0.5240991779996875,0.0030169828999532912
45,0.5307778810001764,0.00302162490002047
46,0.5463413809998201,0.0031703589999779068
47,0.6326015859999643,0.0030378949000350987
48,0.5503444429996307,0.003067498900009014
49,0.5587958790001721,0.0031082599000455957
50,0.5566840780002167,0.003035662799993588
51,0.5745007390000865,0.0030553349000001615
52,0.5740375579998727,0.0031205989999762095
53,0.580996801999845,0.0031396599000800053
54,0.6051832080001986,0.0032653391000621924
55,0.6105643010000676,0.0031304958999044175
56,0.620810087999871,0.003095084000005954
57,0.6368018479997772,0.003103083999940281
58,0.6468042740002602,0.0031222119998801645
59,0.6497540250002203,0.0029678729000806926
60,0.664809564999814,0.003089309899996806
61,0.6757924819999062,0.003050460899976315
62,0.7679664880001837,0.003035372799968172
63,0.6900670499999251,0.0030494838999402417
64,0.7004836870000872,0.003046597899901826
65,0.7275430330000745,0.0031621130000075936
66,0.7416547830002855,0.003135158999975829
67,0.7549803199999587,0.0032166680000045743
68,0.7544488809999166,0.0030596707999848145
69,0.7654296279997652,0.003090134900048725
70,0.772128432000045,0.0030338018998918416
71,0.7860850709998886,0.0030940618999920847
72,0.7901500150001084,0.003083150899965403
73,0.79570628700003,0.0030652368999199097
74,0.8043192720001571,0.003051831899983881
75,0.8114906270002393,0.00308563589996993
76,0.8196293119999609,0.002953467900124451
77,0.9192124630003491,0.0031290588999581814
78,0.8389532240003064,0.003133586999956606
79,0.8460145979997833,0.0030880768998486027
80,0.8495840900000076,0.0030199368999547
81,0.8645357100003821,0.003039109900009862
82,0.8689115330003006,0.0030448929000613137
83,0.8822534709997853,0.003119797999988805
84,0.8898846160000176,0.0031636759999855717
85,0.896612720000121,0.0031650419999550653
86,0.9080480570000873,0.003115549900076076
87,0.913868370000273,0.0032426830000986226
88,0.9166339029998198,0.003081563899968387
89,0.9142390500001056,0.0029960717999529154
90,0.929081270000097,0.0030886018999808588
91,0.9340633629999502,0.0030910708999272174
92,1.0317159440000978,0.0030961698999362845
93,0.9476227509999262,0.0030491999000332726
94,0.9511066439999922,0.0030005577999872913
95,0.9651810309997018,0.003179165000028661
96,0.9632872919996771,0.003045047899877318
97,0.9736033780000071,0.003042399900050441
98,0.9852768460000334,0.003069360899962703
99,0.994400220999978,0.0031076058999587987
100,1.0024960360001387,0.003113996900083294
