N,relative_err
1,0.20921397200984984
2,0.212340013242223
3,0.21406837970128395
4,0.21525400826281466
5,0.21615166098712674
6,0.21687159004474488
7,0.2174710341973085
8,0.2179836389377443
9,0.21843108284541282
10,0.21882716722154819
11,0.2191822104660068
12,0.21950379154810806
13,0.21979764725943168
14,0.22006793975334882
15,0.22031806087807354
16,0.22055072632288905
17,0.2207681433067625
18,0.22097212945523076
19,0.22116419894947953
20,0.2213456261771115
21,0.22151749357282627
22,0.2216807281298839
23,0.22183612965023497
24,0.2219843928750726
25,0.22212612501743131
26,0.22226185979519864
27,0.22239206876893958
28,0.2225171705814495
29,0.22263753854747267
30,0.222753643577586
31,0.22286537619365931
32,0.22297341735055534
33,0.22307787570226656
34,0.22317897395753025
35,0.2232769149119948
36,0.22337188374037217
37,0.22346404996910987
38,0.22355356918141342
39,0.2236405844970182
40,0.22372522786135673
41,0.22380762117281316
42,0.22388787727180803
43,0.2239661008114984
44,0.22404238902667195
45,0.22411683241475222
46,0.22418951534067588
47,0.22426051657561208
48,0.2243299097779947
49,0.22439776392412014
50,0.22446414369448597
