D,relative_err
10,0.3181000727723148
11,0.31010418651838145
12,0.3085711666917373
13,0.3039679792712
14,0.3128276231239674
15,0.31296503175363205
16,0.310520933542646
17,0.3154330079627108
18,0.3133699639600562
19,0.30545034983828206
20,0.31954627607124036
21,0.3009788085988836
22,0.29982361895909754
23,0.30214690940494665
24,0.32770479145234377
25,0.3199797416096166
26,0.3110205372046246
27,0.30626466513894895
28,0.31582595274142133
29,0.30549612508423274
30,0.29302731188906983
31,0.31207316057945955
32,0.3203863782700047
33,0.3219364232606493
34,0.3158400671739085
35,0.32835813123373286
36,0.3043771683152018
37,0.3237835244631566
38,0.30713868080204404
39,0.3180002777270002
40,0.3112569347077121
41,0.30932268943879926
42,0.31179738054634804
43,0.30756105976762776
44,0.31151804838362906
45,0.318900867365776
46,0.3183234456137446
47,0.30935574789156195
48,0.31880321870803957
49,0.322620119291551
50,0.3234717831873504
51,0.31739011495271774
52,0.3234675447749029
53,0.3233627853665332
54,0.3346549025541653
55,0.31595712027198763
56,0.34820349807558093
57,0.3354181954183697
58,0.3411275899334105
59,0.3464220104243121
60,0.32867918499264037
