D,relative_err
10,0.3774079227459174
11,0.3808561474934063
12,0.3867456963986847
13,0.38963109741512014
14,0.3937313130219247
15,0.39816406084939066
16,0.4009646105602293
17,0.40408499213845944
18,0.4082368967810027
19,0.41273575561535536
20,0.4122675520161655
21,0.41591317712487985
22,0.4187591129883963
23,0.4205835387296959
24,0.42263469042536506
25,0.4268432082406194
26,0.4287894680507526
27,0.4305280882115426
28,0.43352023700831566
29,0.43406875131164363
30,0.4368020209534233
31,0.4376078439218465
32,0.4389749916189397
33,0.4403256678600106
34,0.44122440061808926
35,0.44347873537157323
36,0.44568938796158997
37,0.44529828547385863
38,0.44688073892841995
39,0.4473718319257379
40,0.44744876111881005
41,0.44813568276042576
42,0.44818855157681486
43,0.448664451475602
44,0.4487694798055291
45,0.4487565887454366
46,0.44893996519817436
47,0.4490394057446906
48,0.449145872736331
49,0.44917164298158796
50,0.4492350808548299
51,0.44925438816346747
52,0.44928338843007265
53,0.44928614253910615
54,0.44930296517295276
55,0.44930449872718553
56,0.4493141475701262
57,0.44932029367713977
58,0.44932206346996095
59,0.44932694581833
60,0.4493280008732689
