N,relative_err
1,0.22467256577645117
2,0.2062944597883196
3,0.21779371198419212
4,0.22300416239679235
5,0.2309887150623695
6,0.24519826986781124
7,0.2507090161292627
8,0.2237879066633676
9,0.22299662143101234
10,0.2107463889341529
11,0.22288359432951943
12,0.2186404960272372
13,0.26376859422427407
14,0.25271995774291867
15,0.24465517613671423
16,0.22763317706489977
17,0.2502643463792327
18,0.22729041991200394
19,0.22674976628073723
20,0.25860961505895697
21,0.22428288471066785
22,0.2413859262755756
23,0.20875896447169592
24,0.2647105808051365
25,0.23540157196916753
26,0.2436358654455923
27,0.21954043303824758
28,0.2491779687097714
29,0.23577220833407592
30,0.24758960402157
31,0.2007643450963423
32,0.22282402326209613
33,0.22754465117211503
34,0.22450581716233217
35,0.25739284556842257
36,0.2358778618198454
37,0.21108881014876985
38,0.22714860614676957
39,0.25384031867626744
40,0.22095403812182213
41,0.21912370653909943
42,0.22593655492936843
43,0.21876863434318142
44,0.22542806801920606
45,0.23258328050133859
46,0.20999866485275137
47,0.21978760880457984
48,0.22498465606640422
49,0.25435772912766497
50,0.2329204157007194
