D,relative_err
10,0.36939158816704076
11,0.39867481522747683
12,0.3585275304855099
13,0.3894569972122384
14,0.36595599443268084
15,0.3658984362881719
16,0.3677926298389529
17,0.36478711358648475
18,0.3783195297058433
19,0.3566213569941422
20,0.36387557009715116
21,0.35526544541677496
22,0.381070676481766
23,0.34623163446155675
24,0.324365180381401
25,0.40159663754217556
26,0.3723379799588127
27,0.3781154821599933
28,0.38178717176506904
29,0.35093830920982616
30,0.3584200162014597
31,0.3340936359552366
32,0.3354210059112878
33,0.40637239774392575
34,0.39680344556462704
35,0.3923389207643271
36,0.3378468978707038
37,0.38011943123908154
38,0.4008734075201491
39,0.358273695928252
40,0.38064463225423195
41,0.3648626218978174
42,0.3936293097991666
43,0.36086441556377435
44,0.36508600096258315
45,0.37570073795851877
46,0.39791095138877686
47,0.35766671768904296
48,0.36137816728620503
49,0.38024682427616674
50,0.3679059528304064
51,0.37933687647367315
52,0.32981206192251705
53,0.3337322351054678
54,0.37211008565078213
55,0.33291738432745843
56,0.3403757821734193
57,0.3438683584571006
58,0.34225023230165197
59,0.3644587508223255
60,0.35722203310725853
