D,pre,query
10,0.9219443760000559,0.02174068529998294
11,0.8973845269999856,0.021411587800025698
12,0.9037904479998815,0.0211240860000089
13,0.8731323080000948,0.021240787200031263
14,0.8915629709999848,0.021140560399976492
15,0.9045686429999478,0.020796997500087854
16,0.899099121000063,0.020566007699994768
17,0.8772980880000887,0.020612214799962204
18,0.9254303630000322,0.02045466969998415
19,0.9023572799999329,0.01950385479999568
20,0.8855592080001315,0.019639252899969505
21,0.9076110710000194,0.01934037850001005
22,0.8978755170001023,0.01905508949998875
23,0.91142712199985,0.018625152600043292
24,0.901811453999926,0.01827420400002211
25,0.91588304600009,0.01798510629998873
26,0.9202596210000138,0.0187106001999382
27,0.8996673459998874,0.019185723800046618
28,0.9061655470000005,0.0166516206000324
29,0.9046297390000291,0.01799734719998014
30,0.8966419900000346,0.016340260199990554
31,0.9036591550000139,0.016615460800016992
32,0.8838718869999411,0.016714476100037248
33,0.897616945999971,0.015722989299979416
34,0.903217659999882,0.01563972460003242
35,0.8977030429998649,0.01607641870000407
36,0.9137461689999782,0.015149870200002625
37,0.9146156770000289,0.015547126600040428
38,0.9325591829999667,0.015942995500040524
39,0.9163730770001166,0.01500108140003249
40,0.931681848999915,0.014195893899932343
41,0.8968939699998373,0.014794667000001026
42,0.8791485799999919,0.014513701999976546
43,0.924323344999948,0.01390953739996803
44,0.885141855000029,0.01464257559998714
45,0.894868476000056,0.012418239399971751
46,0.905532950000179,0.013125483599969812
47,0.9147739430000001,0.013311487399982981
48,0.9114279969999188,0.012776582599985887
49,0.9162337160000789,0.013146009000001867
50,0.8867390849998174,0.013276455100003658
51,0.8941870759999802,0.013349563599990687
52,0.9095105440001134,0.013237612500029174
53,0.9330706220000593,0.012480793000031555
54,0.9300121290000334,0.011840080699994359
55,0.9065039339998293,0.011758505200009494
56,0.925591250000025,0.011845616899995548
57,0.8920664879999549,0.011731839300000501
58,0.9165968069999053,0.011474170899987259
59,0.9191145469999356,0.012280816200041044
60,0.9046316980000029,0.011746448299982148
61,0.9110338400000728,0.011368105099995772
62,0.9081937529999777,0.01086268439999003
63,0.9213335699998879,0.01202978150006402
64,0.9049111130000256,0.01142889249997552
65,0.8886597650000567,0.010921830699999191
66,0.9051668459999291,0.01057393020003019
67,0.9044800260001011,0.010974796599998627
68,0.9293152410000403,0.011058638899999095
69,0.9490148949998911,0.01126992270003484
70,0.9095191629999135,0.010445190600012212
71,0.8972265320001043,0.01046315829996729
72,0.9273745469999994,0.0104384667000204
73,0.9480078159999721,0.01071422280003844
74,0.9467878680000013,0.011124775899975247
75,0.934297504999904,0.01057220170000619
76,0.9267877980000776,0.010360163399991507
77,0.9212042359999941,0.010671967199959909
78,0.88527687099986,0.010357185400016533
79,1.0405230740000206,0.01024456550001105
80,0.9192949110001791,0.010593753799957993
81,0.9094030779999684,0.010852265200014699
82,0.9245193399999607,0.010567331999936867
83,0.9155203810000785,0.010403309799994532
84,0.9225848769999629,0.010274508300017261
85,0.9127300799998466,0.010342232900006822
86,0.950375589000032,0.010866123700020582
87,0.9350250190000224,0.010357395000005454
88,0.9346781480001027,0.010319974599974559
89,0.9078212730000814,0.01022098420005477
90,0.9392443360000016,0.010600203299986788
91,0.910979788000077,0.010179994899976919
92,0.9194823479999741,0.010418487799961438
93,0.8941093639998599,0.010256648300014604
94,0.9179324909998741,0.010401712500038228
95,0.8832120499998837,0.010221659399962845
96,0.8997287649999635,0.01023514429991792
97,0.9276966479999373,0.010404440099955538
98,0.9148341459999756,0.010257555700013654
99,0.8966171890001533,0.010439471900008357
100,0.8802287020000676,0.010289213200007906
