D,pre,query
10,2.276423969999996,0.04320613499999979
11,2.358039850999994,0.04557558450000059
12,2.4310639880000053,0.0451806332000011
13,2.267610397999995,0.04316236190000211
14,2.360637613999998,0.044394216700000294
15,2.237918196999999,0.04331762009999878
16,2.2695364559999973,0.045472645300000634
17,2.335565506000002,0.04446768180000263
18,2.378691574000001,0.04424630969999939
19,2.2959079229999944,0.04380811739999899
20,2.3631389250000012,0.04479459200000022
21,2.251476013999998,0.044532215799999615
22,2.3527838979999984,0.04530318460000303
23,2.249422322000001,0.043333577100003136
24,2.292424791000002,0.043642636199999175
25,2.352768698999995,0.04537030829999936
26,2.2758272300000044,0.04452202780000221
27,2.370296530999994,0.04311351090000244
28,2.204134725000003,0.042886659799998485
29,2.3135766859999904,0.042800278699999694
30,2.3442910739999974,0.04398158350000329
31,2.2497194169999943,0.043789690399999866
32,2.196742779999994,0.04358174909999662
33,2.3220334570000034,0.04513970320000026
34,2.3797718759999924,0.04491984900000005
35,2.427818766999991,0.0452582093000018
36,2.561670726999992,0.0445337357999989
37,2.3199330989999964,0.04273731669999847
38,2.542371024000005,0.04705077929999959
39,2.2072255189999908,0.043810486399999606
40,2.4663912799999963,0.04487623610000071
41,2.357369110999997,0.045787495599999777
42,2.307732698999999,0.04437813970000092
43,2.3882338119999957,0.04312378289999969
44,2.408210813000011,0.04525672329999962
45,2.3151312439999856,0.043377093999995966
46,2.3351451500000167,0.04482810499999915
47,2.4410038229999884,0.04433028970000521
48,2.262676720999991,0.04373566429999869
49,2.3541412289999926,0.0446195179
50,2.377530613999994,0.04411435259999905
51,2.3184122879999904,0.04518358629999852
52,2.502916591999991,0.047299172500001416
53,2.1713212470000087,0.04266699770000173
54,2.2737221980000015,0.045457074399993753
55,2.334791217000003,0.046531316999997324
56,2.268989557000026,0.04497527210000384
57,2.244763511000002,0.04325946699999576
58,2.318961188000003,0.044262333599994014
59,2.1997039729999983,0.042870049800001205
60,2.382660608000009,0.043812163399999805
61,2.3452799530000163,0.04430560070000525
62,2.3793251150000003,0.04286345879999374
63,2.350212207999988,0.04479714679999631
64,2.3515294460000007,0.0475427886999995
65,2.2648479849999887,0.044378442699996856
66,2.3923971929999936,0.04485280800000738
67,2.26927601700001,0.044581436799998646
68,2.2198833669999942,0.043893088399997275
69,2.3976649349999946,0.044405549699993684
70,2.3161788959999967,0.04581033459999446
71,2.3282313839999915,0.04384943040000451
72,2.3224046990000033,0.04292003379999869
73,2.307724661000009,0.04305434590000345
74,2.2528255469999863,0.04507860509999375
75,2.4812901690000047,0.04507941309999808
76,2.220554157999999,0.04274646269999778
77,2.330714784999998,0.04631940080000732
78,2.3283290649999913,0.04346055409999394
79,2.1840282229999843,0.04559636350000175
80,2.420705292000008,0.04625849969999649
81,2.1591842790000157,0.04262826659999916
82,2.329337283000001,0.04358826319999594
83,2.3193177679999906,0.04175923510000245
84,2.3634259549999967,0.04392444350000347
85,2.1772606699999812,0.044316227499996336
86,2.3177122280000333,0.044270398599996943
87,2.4375434490000316,0.0451785561999884
88,2.372278212000026,0.04551397940001039
89,2.3267009330000405,0.044489794800006165
90,2.3888826819999736,0.04572083260000568
91,2.240152856999998,0.04465692289999198
92,2.3148571560000164,0.04430024969998954
93,2.4039715509999837,0.04465722780000193
94,2.258220719999997,0.04403199050000239
95,2.2807398650000437,0.04497565099999292
96,2.2925550120000366,0.04329039599998623
97,2.4657221599999843,0.04548042840000903
98,2.39421999700005,0.046021059699995696
99,2.439574431999972,0.0443129716000044
100,2.275012280999988,0.043249459099996564
