L,pre,query
10,0.05344553299994459,0.002052696300006574
11,0.0671466919999375,0.002507476799974029
12,0.08366881400002057,0.0028600986000014927
13,0.08883407600001192,0.0026067907000197005
14,0.10121675599998525,0.003251820300010877
15,0.11875499299992498,0.0032773176000091553
16,0.1308569710000711,0.004139281800007665
17,0.13704331700000694,0.004081213799986471
18,0.15285754900003212,0.003806677600016428
19,0.16412027700005183,0.004178524600001765
20,0.18343362500002058,0.004609269599995969
21,0.2028748220000125,0.004937684800006536
22,0.21294738299991423,0.005034209100006137
23,0.22041295899998659,0.005236288100013553
24,0.2492345350000278,0.005663878500013197
25,0.2551593309999589,0.006053419699981078
26,0.2900625309999896,0.006016539000017929
27,0.31620697500000006,0.0062324417000127145
28,0.31910023000000365,0.006880967600011445
29,0.33949525900004573,0.006709643800013509
30,0.3466199960000722,0.0070121223999763055
31,0.3724583470000198,0.006876104500008751
32,0.39631057999997665,0.0073134753999852375
33,0.42174629999999524,0.007673830700002782
34,0.4440077179999662,0.008189529799994943
35,0.47050497999998697,0.007996912400005841
36,0.4997836019999795,0.00904960350002284
37,0.5108820120000246,0.00873509949998379
38,0.5663982699999224,0.009370619100025126
39,0.5787798130000965,0.010594453399994562
40,0.6083394259999295,0.00970798770000556
41,0.6209051579999141,0.009998576899999988
42,0.6691622370000232,0.010705074900010915
43,0.6640370080000366,0.011158198799978437
44,0.7129866559999982,0.011039114900017922
45,0.7468818409998903,0.010322602400015058
46,0.7697277790000498,0.011919024700011958
47,0.7932448660000091,0.011892249500010622
48,0.8287738489999583,0.012682168300011653
49,0.8706863300000123,0.012215939799978058
50,0.8806414379999978,0.012332090300003528
51,0.9536508020000838,0.013334480400021676
52,0.9514806470000394,0.013984676300003685
53,1.0296027939999703,0.01332728469999438
54,1.023974317000011,0.013854490699986855
55,1.0665182690000847,0.013642159699998045
56,1.125871701000051,0.01355949820000433
57,1.1437973800000236,0.0149903331000246
58,1.19986363299995,0.016150576699976684
59,1.2152247679999846,0.015597707600011291
60,1.2977530910000041,0.015969903800009885
61,1.306837711000071,0.016459407199988618
62,1.3320669080000016,0.015646008700002767
63,1.3816448919999402,0.016591927800004666
64,1.4395642150000185,0.01670470869999008
65,1.4412136429999691,0.017265962400006173
66,1.4821586520000665,0.0173185660000172
67,1.5272924610000018,0.018084796699986326
68,1.617465229000004,0.017436748900001933
69,1.6388889119999703,0.017595929100014018
70,1.6876407650000829,0.017914987399990426
71,1.6916327280000587,0.01775392900004817
72,1.7898929650000355,0.01930048480001005
73,1.806653094000012,0.018266866500005106
74,1.8337068670000463,0.01973023870001498
75,1.9417042190000302,0.019335618200000224
76,1.92376381400004,0.020165881699995225
77,2.0250575619999154,0.019415382999989107
78,2.045830894000005,0.02082290749997355
79,2.121751783000036,0.020606334999990848
80,2.154838745999996,0.02181392830001414
81,2.234167677999949,0.022995096699992244
82,2.26859251399992,0.021114872700013623
83,2.4100632569999334,0.022540054800015242
84,2.394867839999961,0.022944977300005578
85,2.429620266000029,0.021164344199996774
86,2.4788129969999773,0.022851533599998676
87,2.520414317000018,0.022290754199980257
88,2.582015752000075,0.023046810900007132
89,2.616829466000013,0.023144671399995785
90,2.7153301209999654,0.023451958500015736
91,2.712937982000085,0.024133940700005494
92,2.814413678000051,0.02507535569999391
93,2.875018753000063,0.024741898400009177
94,2.907465261000084,0.02565889590001689
95,3.047628553999971,0.026664691700011647
96,3.089870489999953,0.024465290300008744
97,3.1573723159999645,0.02754305210005441
98,3.213184280000064,0.026507059099992604
99,3.208109125000078,0.025246803000015913
100,3.2984369920000063,0.027340047099983167
