N,pre,query
1,0.025267725999995605,0.0023250893999986035
2,0.028682218000000148,0.0024445405999983906
3,0.023742105000010838,0.002251275400000452
4,0.02620629599999802,0.0022823303999985
5,0.03998773500001107,0.002561948600001074
6,0.03810648299999286,0.0026967916999993233
7,0.03333761099999322,0.0024291485000020427
8,0.03530956200000901,0.0024188664999982732
9,0.03569521200000736,0.002316132400001436
10,0.0400648450000034,0.002228633399998614
11,0.04363480700000366,0.002490055499998789
12,0.04027167499999962,0.002477338600000678
13,0.041699035999997136,0.0024973475999999547
14,0.04611199900000429,0.00249343559999744
15,0.04908106099999543,0.002416249600000242
16,0.055778135000011275,0.002470386500002064
17,0.05045316200001082,0.00245597059999767
18,0.05753399600000364,0.002419340499999123
19,0.054391764000001785,0.0023564674999988714
20,0.05690196599999808,0.0026616667000013195
21,0.05699272600000427,0.0023398245000038286
22,0.0630650700000075,0.0026003626000004943
23,0.061955788000005896,0.0024102754999987047
24,0.06249759899999674,0.0025565495999998688
25,0.06515437999999563,0.0023343963999977293
26,0.06929511400001331,0.002553350600003057
27,0.06453196000001071,0.002560829600000147
28,0.06728474199999823,0.002480472500000985
29,0.07443483599999468,0.002363574499996446
30,0.06741930200000468,0.002182159299998432
31,0.07765296899999896,0.0026687217000002763
32,0.0743003360000074,0.0022481244000005065
33,0.08213878200000124,0.002796591799999249
34,0.0820329910000055,0.0024454045000027232
35,0.08187650100001065,0.002299660400001358
36,0.07762811899999633,0.0022974044999998
37,0.09728317000001141,0.002868181799999547
38,0.09698167099999466,0.0027142436999980646
39,0.08781739500000185,0.0023252245000009
40,0.09138945800000897,0.0025105943999989225
41,0.09347183799999925,0.0024679275000011104
42,0.09728422999999964,0.0025119025000009286
43,0.08918147500000373,0.0023596534000006383
44,0.0906658070000077,0.002339013500002807
45,0.09766017100000113,0.0024672786000010656
46,0.09311650799999427,0.0020884683999994992
47,0.0968038200000052,0.0024624725000009563
48,0.10763949699999387,0.0027498587000010844
49,0.10950808799999834,0.002662646600001039
50,0.09965863299999,0.002309430399999712
51,0.10600249600000211,0.0023806215000035987
52,0.10449017599999877,0.002390963500000964
53,0.10474320600000908,0.0024672284999994075
54,0.10511032600000192,0.002167477299998666
55,0.11172824999999875,0.0025505106000025535
56,0.10649885699999118,0.002361200499997551
57,0.10939791900000273,0.002211257400000477
58,0.11748370300000488,0.0024436225999977523
59,0.12253143700000635,0.0023598013999986734
60,0.12762761900000896,0.002855910800001027
61,0.13394288300000312,0.0025520566000011517
62,0.129935420999999,0.0024985715000028106
63,0.13728082599999425,0.0027890228000003957
64,0.129030929999999,0.002428494500000511
65,0.1310688820000081,0.002457295499996803
66,0.13421160400000076,0.0021876914000003465
67,0.13600762500001906,0.0025766835999974096
68,0.1348739050000063,0.002372853400001418
69,0.14458529000000908,0.00255552960000216
70,0.13818077600001288,0.002362095399996633
71,0.14143384799999126,0.002398514499998328
72,0.14423518000000968,0.0023994025000007467
73,0.13979204700001446,0.0023193605000017214
74,0.15251360499999578,0.00250035759999605
75,0.1475390319999974,0.002418111500003306
76,0.14446985999998674,0.0023346663999944894
77,0.14715099200000736,0.002260961400000383
78,0.15162620499998525,0.0023828604999977187
79,0.16305531200001155,0.002783453800000757
80,0.15628384799998685,0.002265471399996954
81,0.16544815299999982,0.002740604700005633
82,0.16369998299998656,0.0024962585999986687
83,0.16595393299999728,0.0025629635999962377
84,0.165142043000003,0.002532721599996535
85,0.16201131100001476,0.002261641399999803
86,0.16296807099999455,0.00210796630000516
87,0.17229373700001815,0.002826686800000289
88,0.1689196060000029,0.0025352745999981607
89,0.16809262499998567,0.0022562533999973765
90,0.1738135180000029,0.0025382124999993043
91,0.17858875099997817,0.002728908699995714
92,0.17752224099999125,0.0024798716000020704
93,0.18338566500000297,0.002575086599995302
94,0.17603959000001623,0.0024686204999966317
95,0.1753062390000082,0.0025056406000061315
96,0.17837317100000405,0.002271580400002904
97,0.18010761200000047,0.002360413500002778
98,0.18561763599998926,0.002551502599999367
99,0.19260532100000205,0.0027849247000006016
100,0.1828033849999997,0.0023629553999967357
