L,pre,query
10,0.04475616799999216,0.0024878905999969445
11,0.04712973900001316,0.0027828237999983686
12,0.06418056000001116,0.0035247992000051907
13,0.06481022000002667,0.0035451812000019344
14,0.08381786199998942,0.004408385800002179
15,0.09072479700000713,0.004933250100003761
16,0.12803031900000406,0.0057651766000049055
17,0.12454325700002755,0.005977436699998862
18,0.14415709000002153,0.006676340199993546
19,0.21486507500003427,0.008746185399996876
20,0.2180116160000125,0.008788788499981591
21,0.2551836889999777,0.010744130699998777
22,0.2762128530000041,0.010480361499986657
23,0.31751724900004774,0.012005991499995617
24,0.36278010499995617,0.012841188100003365
25,0.3890302049999832,0.013315376299988201
26,0.42862943000000087,0.014402325999992626
27,0.5139666400000351,0.016575300400006657
28,0.534990544999971,0.01595851299999822
29,0.5937578420000023,0.018138626299997896
30,0.5660959030000186,0.017943134199998663
31,0.6905870200000095,0.02023366669998836
32,0.7242015429999924,0.02113078320000454
33,0.798553217999995,0.02242811599999754
34,0.8687148930000035,0.023168614399997973
35,0.8564026450000028,0.023953079900002196
36,0.9941658700000175,0.025519829000006666
37,1.047448184000018,0.026593238600008822
38,1.1530411119999826,0.027807571399983997
39,1.290095985999983,0.02997713070000714
40,1.3217824449999966,0.03045765200000687
41,1.5057792810000024,0.03199752389999162
42,1.4484168230000023,0.03365357600001176
43,1.6490389699999923,0.03517663700000071
44,1.6611714370000072,0.03692501009998636
45,1.8587495920000379,0.038886648300001526
46,1.9238337819999742,0.039312147500004356
47,2.1019015449999756,0.03961740369999802
48,2.1137175089999687,0.04032977419998929
49,2.167372333000003,0.04417210360000467
50,2.174691789999997,0.04208988929999578
51,2.5690983640000127,0.05009104629999683
52,2.6701308670000117,0.046578528100002355
53,2.7590908210000293,0.05038282250000065
54,3.136799257000007,0.05282445700000267
55,2.9958567709999784,0.05214641659999302
56,3.0989414969999984,0.05167930829998681
57,3.159252039000023,0.05261086979999732
58,3.502769199999989,0.05626396409999756
59,3.395536880999998,0.0590113558999974
60,3.7035028220000186,0.060320467799994046
61,3.7994676389999995,0.06019116459999622
62,4.023462660999996,0.06234242989999643
63,4.112680917000034,0.06292041730000619
64,4.304744126000003,0.06652370659999746
65,4.488179988000013,0.07014738280000188
66,4.618594301999963,0.07089792329999796
67,4.990616483999986,0.07227319110000963
68,5.176643928999965,0.07281110050001303
69,5.172294039000008,0.07689369700000838
70,5.53848628999998,0.07676412389999997
71,5.804390555999987,0.07716149019998966
72,5.833632710000018,0.07867964510000433
73,5.862639622000017,0.0831583028999944
74,6.1900520059999735,0.08231054540000289
75,6.4359819580000135,0.08301706390000163
76,6.6432984170000395,0.08532631419999462
77,6.705023953000023,0.08834708710000996
78,7.422199902999978,0.09134855100000434
79,7.575059388,0.09180220730000314
80,7.6060291979999874,0.09977641830000153
81,7.781422027000019,0.09607672809999598
82,8.004657184999928,0.0962670011000114
83,8.428017869000087,0.1016592983999999
84,8.882652385000029,0.10078726699998697
85,8.748729893000018,0.09884214570000721
86,9.58013309599994,0.10702436980002403
87,9.186825086999988,0.10483000149999953
88,9.76521310599992,0.1062506441999858
89,9.946621065000045,0.10625334930000463
90,10.211761329000069,0.10690772980000247
91,10.35716477799997,0.1163544055999978
92,11.142389707000007,0.11474952379999194
93,11.25086012700001,0.12029653319999625
94,11.227596968000057,0.11587458239998794
95,11.795111375000033,0.12081346840002424
96,11.848206022,0.11861726199997519
97,12.109158099999945,0.12446033859997671
98,12.30859813799998,0.12306258479999314
99,12.780004408999957,0.1258601045999967
100,12.916146426000068,0.12724304550000623
